Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
64,361080,315738
171,361080,315738
272,238312,192970
422,310528,265186
522,158875,113533
623,252756,207414
679,205815,160473
778,28274,0
891,34700,0
1027,151653,106311
1077,57772,12430
1181,0,0
1282,11566,0
1382,12852,0
1483,12852,0
1590,0,0
1684,17244,0
1783,361080,315738
1932,361080,315738
1982,361080,315738
2088,55070,9728
2185,14709,0
2294,51408,6066
2387,12852,0
2490,23133,0
2593,11566,0
2690,12852,0
2790,12852,0
2890,0,0
2991,0,0
3099,11566,0
3191,28218,0
3314,90270,44928
3392,361080,315738
3490,119156,73814
3594,0,0
3694,12852,0
3794,23133,0
3897,11566,0
3995,0,0
4096,12852,0
4197,0,0
4302,0,0
4397,58379,13037
4497,324972,279630
4599,27535,0
4701,0,0
4800,25704,0
4901,0,0
5003,0,0
5104,0,0
5204,23133,0
5305,0,0
5406,12852,0
5503,180540,135198
5609,11566,0
5706,77838,32496
5808,0,0
5909,12852,0
6008,12852,0
6113,0,0
6209,15144,0
6313,23133,0
6412,0,0
6513,25704,0
6612,14137,0
6713,79607,34265
6813,278031,232689
6913,108324,62982
7018,0,0
7118,24781,0
7220,0,0
7322,23133,0
7422,12852,0
7520,58379,13037
7622,0,0
7726,14137,0
7820,119156,73814
7929,20563,0
8023,15144,0
8124,12852,0
8224,0,0
8328,23133,0
8440,137210,91868
8531,306918,261576
8626,38556,0
8733,11566,0
8828,17244,0
8929,0,0
9030,12852,0
9131,12852,0
9232,0,0
9334,12852,0
9433,12852,0
9533,324972,279630
9632,361080,315738
9735,57834,12492
9837,12852,0
9938,12852,0
10039,0,0
10140,23133,0
10243,12852,0
10341,13767,0
10443,12852,0
10546,324972,279630
10641,111450,66108
10744,361080,315738
10844,72216,26874
10946,12852,0
11047,12852,0
11144,119156,73814
11247,11566,0
11348,17690,0
11449,13767,0
11548,278031,232689
11651,34700,0
11750,39718,0
11850,361080,315738
11949,361080,315738
12053,12852,0
12153,14137,0
12253,12852,0
12354,25704,0
12455,12852,0
12553,144432,99090
12657,134747,89405
12755,72216,26874
12859,12852,0
12960,14137,0
13060,12852,0
13160,14137,0
13260,14137,0
13361,12852,0
13462,12852,0
13583,110801,65459
13662,278031,232689
13765,14137,0
13869,11566,0
13967,15422,0
14067,23133,0
14168,12852,0
14270,0,0
14373,38556,0
14469,33341,0
14583,79607,34265
14674,361080,315738
14772,99040,53698
14875,27535,0
14976,12852,0
15077,12852,0
15177,34700,0
15279,0,0
15380,25704,0
15480,0,0
15585,23133,0
15683,13767,0
15783,0,0
15884,0,0
15984,24781,0
16087,0,0
16187,23133,0
16287,14137,0
16387,13767,0
16489,12852,0
16592,0,0
16687,252756,207414
16794,12852,0
16889,324972,279630
16995,20563,0
17098,44226,0
17194,35381,0
17295,14137,0
17396,23133,0
17502,14137,0
17597,12852,0
17702,252756,207414
17804,34700,0
17897,36108,0
18002,0,0
18106,12852,0
18202,314139,268797
18304,23133,0
18408,12852,0
18508,25704,0
18608,12852,0
18714,252756,207414
18812,51408,6066
18912,12852,0
19013,0,0
19114,24781,0
19216,0,0
19316,12852,0
19422,0,0
19521,0,0
19621,11566,0
19727,198594,153252
19820,361080,315738
19922,64260,18918
20022,12852,0
20124,0,0
20225,25704,0
20324,11566,0
20424,12852,0
20525,0,0
20627,0,0
20732,11566,0
20829,38556,0
20930,12852,0
20982,25704,0
21082,14137,0
21177,72216,26874
21281,0,0
21381,12852,0
21482,12852,0
21582,13767,0
21683,12852,0
21787,158875,113533
21884,64994,19652
21988,23133,0
22089,12852,0
22189,12852,0
22289,12852,0
22390,58379,13037
22493,11566,0
22595,14137,0
22690,108324,62982
22795,0,0
22897,0,0
23000,12852,0
23099,14709,0
23200,14137,0
23298,11566,0
23399,18812,0
23499,361080,315738
23598,36108,0
23702,0,0
23809,162486,117144
23904,238312,192970
24007,12852,0
24110,0,0
24210,13767,0
24310,25704,0
24411,23133,0
24512,0,0
24612,11566,0
24712,51734,6392
24820,151653,106311
24936,361080,315738
25014,314139,268797
25119,12852,0
25217,16180,0
