Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,151653,0
72,361080,62532
166,288864,0
262,252756,0
361,180540,0
460,292474,0
570,51408,0
672,25704,0
770,25704,0
870,14137,0
970,47764,0
1067,278031,0
1171,11566,0
1272,28274,0
1373,12852,0
1474,14137,0
1579,11566,0
1677,15422,0
1777,14137,0
1878,25704,0
1980,28274,0
2085,13767,0
2181,14137,0
2282,25704,0
2383,12852,0
2485,0,0
2587,14137,0
2685,12852,0
2787,25704,0
2890,23133,0
2986,43329,0
3094,23133,0
3193,28274,0
3294,14137,0
3394,12852,0
3495,28274,0
3599,12852,0
3695,25704,0
3794,29418,0
3896,14137,0
4001,23133,0
4096,15422,0
4197,25704,0
4297,12852,0
4403,12852,0
4500,15422,0
4601,23133,0
4703,23133,0
4804,38556,0
4904,25704,0
5005,23133,0
5107,56548,0
5206,12852,0
5309,12852,0
5408,14137,0
5509,12852,0
5609,32130,0
5710,25704,0
5814,12852,0
5912,25704,0
6013,12852,0
6113,25704,0
6215,14137,0
6320,12852,0
6416,25704,0
6517,14137,0
6619,14137,0
6723,23133,0
6819,14137,0
6919,25704,0
7020,12852,0
7123,25704,0
7226,25704,0
7324,14137,0
7424,14137,0
7525,12852,0
7628,25704,0
7726,25704,0
7827,25704,0
7928,25704,0
8028,12852,0
8131,23133,0
8230,0,0
8329,23133,0
8430,23133,0
8534,14137,0
8630,12852,0
8732,14137,0
8831,14137,0
8933,12852,0
9033,12852,0
9132,25704,0
9233,14137,0
9334,14137,0
9438,12852,0
9537,12852,0
9638,12852,0
9740,12852,0
9840,0,0
9939,25704,0
10040,23133,0
10140,12852,0
10242,28274,0
10345,32130,0
10443,12852,0
10544,14137,0
10644,23133,0
10746,25704,0
10849,12852,0
10951,14137,0
11047,33341,0
11147,15422,0
11248,20563,0
11348,38556,0
11449,15422,0
11551,29559,0
11651,15422,0
11752,23133,0
11853,25704,0
11953,23133,0
12056,12852,0
12156,14137,0
12257,12852,0
12358,23133,0
12459,14137,0
12560,12852,0
12663,12852,0
12760,25704,0
12861,0,0
12961,12852,0
13063,12852,0
13112,42411,0
13212,12852,0
13319,0,0
13411,108324,0
13514,0,0
13615,0,0
13715,12852,0
13818,12852,0
13916,158875,0
14016,180540,0
14116,252756,0
14216,288864,0
14317,324972,26424
14426,361080,62532
14517,361080,62532
14617,180540,0
14718,158875,0
14824,13767,0
14929,23133,0
15023,50012,0
15124,324972,26424
15223,317750,19202
15344,299696,1148
15426,361080,62532
15526,119156,0
15630,11566,0
15731,0,0
15833,11566,0
15939,38556,0
16034,288864,0
16133,317750,19202
16234,252756,0
16332,361080,62532
16432,361080,62532
16536,23133,0
16637,0,0
16736,34700,0
16836,25704,0
16937,12852,0
17039,46267,0
17138,0,0
17238,34700,0
17339,14137,0
17439,12852,0
17541,14137,0
17641,12852,0
17746,12852,0
17842,25704,0
17942,14137,0
18042,252756,0
18143,278031,0
18247,288864,0
18341,299696,1148
18442,158875,0
18546,11566,0
18652,23133,0
18747,14137,0
18847,12852,0
18949,0,0
19054,12852,0
19155,158613,0
19250,361080,62532
19348,259977,0
19449,317750,19202
19549,361080,62532
19653,14137,0
19753,0,0
19853,34700,0
19958,0,0
20058,77838,0
20157,324972,26424
20256,278031,0
20356,288864,0
20456,97491,0
20562,12852,0
20660,28274,0
20760,0,0
20861,25704,0
20967,0,0
21058,119156,0
21159,288864,0
21262,259977,0
21360,278031,0
21461,180540,0
21566,12852,0
21666,0,0
21771,0,0
21869,14137,0
21970,25704,0
22075,34700,0
22172,164880,0
22271,317750,19202
22370,324972,26424
22470,361080,62532
22571,361080,62532
22673,66683,0
22774,88453,0
22877,91986,0
22975,53071,0
23077,88453,0
23180,66683,0
23275,198594,0
23376,48465,0
23479,63686,0
23580,61954,0
23679,51734,0
23781,61682,0
23881,55013,0
23985,64276,0
24083,65455,0
24191,259977,0
24283,361080,62532
24382,346981,48433
24482,270810,0
24582,361080,62532
24682,216648,0
24787,23133,0
24891,28274,0
24987,23133,0
25088,0,0
25193,104529,0
25297,278031,0
25391,292474,0
25495,324972,26424
25595,238312,0
25697,31354,0
25801,12852,0
25901,25704,0
26001,12852,0
26103,23133,0
26201,58379,0
26304,252756,0
26404,288864,0
26506,361080,62532
26605,299696,1148
26707,252756,0
26810,12852,0
26910,0,0
27011,12852,0
27111,34700,0
27212,0,0
27311,53071,0
27413,23133,0
27513,0,0
27613,13767,0
27714,25704,0
27815,34700,0
27919,12852,0
28019,12852,0
28119,14137,0
28218,12852,0
28328,34700,0
28373,209059,0
28468,361080,62532
28567,292474,0
28668,361080,62532
28769,361080,62532
28878,299696,1148
28978,259977,0
29081,14137,0
29196,12852,0
29280,79437,0
29387,12852,0
29485,25704,0
29586,12852,0
29690,0,0
29788,25704,0
29888,0,0
29989,12852,0
30093,0,0
30191,25704,0
30289,144432,0
30390,270810,0
30489,227480,0
30589,324972,26424
30689,361080,62532
30790,0,0
30894,12852,0
30994,11566,0
31094,14137,0
31195,12852,0
31298,34700,0
31394,278031,0
31493,288864,0
31597,324972,26424
31694,324972,26424
31797,25704,0
31898,14137,0
32003,12852,0
32099,25704,0
32200,25704,0
32301,32130,0
32401,314139,15591
32501,324972,26424
32606,292474,0
32705,278031,0
32809,34700,0
32909,14137,0
33011,23133,0
33112,13767,0
33211,53071,0
33313,12852,0
33415,12852,0
33516,14137,0
33616,23133,0
33717,38556,0
33818,12852,0
33917,38556,0
34018,0,0
34119,23133,0
34225,25704,0
34320,14137,0
34420,38556,0
