Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,75826,9039
118,361080,294293
217,361080,294293
316,259977,193190
417,227480,160693
519,111450,44663
620,14137,0
720,12852,0
818,79437,12650
922,12852,0
1024,20563,0
1124,14137,0
1225,25704,0
1328,25704,0
1423,361080,294293
1524,72216,5429
1628,12852,0
1728,14137,0
1829,25704,0
1929,12852,0
2035,12852,0
2130,23133,0
2231,0,0
2281,25704,0
2382,25704,0
2482,12390,0
2583,0,0
2687,11566,0
2785,14137,0
2886,12852,0
2986,12852,0
3085,46267,0
3185,19459,0
3285,0,0
3387,23133,0
3487,0,0
3587,14709,0
3689,0,0
3790,24781,0
3891,11566,0
3992,0,0
4094,12852,0
4194,14137,0
4296,0,0
4396,11566,0
4497,23133,0
4598,0,0
4700,0,0
4801,23133,0
4903,14709,0
5004,23133,0
5106,12852,0
5207,14137,0
5308,23133,0
5409,0,0
5506,108324,41537
5610,23133,0
5711,0,0
5811,29418,0
5914,0,0
6015,14137,0
6116,12852,0
6217,12852,0
6319,12852,0
6419,12852,0
6521,23133,0
6621,12852,0
6721,13767,0
6824,0,0
6925,23133,0
7025,0,0
7126,12852,0
7226,14709,0
7327,12852,0
7428,12852,0
7530,12852,0
7629,13767,0
7730,12390,0
7831,14137,0
7931,12852,0
8034,0,0
8133,12852,0
8234,0,0
8335,12852,0
8436,11566,0
8537,0,0
8642,0,0
8739,0,0
8841,23133,0
8942,23133,0
9046,0,0
9143,12852,0
9244,12852,0
9344,23133,0
9446,0,0
9547,23133,0
9653,0,0
9748,25704,0
9849,0,0
9950,0,0
10055,11566,0
10150,58379,0
10252,0,0
10353,12852,0
10454,0,0
10557,11566,0
10655,25704,0
10756,0,0
10858,12852,0
10959,0,0
11058,14137,0
11160,12852,0
11261,14137,0
11363,0,0
11463,12852,0
11566,12852,0
11666,12852,0
11767,12852,0
11868,12852,0
11919,25704,0
12019,13767,0
12121,0,0
12221,12852,0
12323,12852,0
12423,12852,0
12525,23133,0
12626,0,0
12727,12852,0
12827,23133,0
12929,0,0
13029,13767,0
13130,12852,0
13229,14709,0
13330,56209,0
13433,23133,0
13533,0,0
13634,12852,0
13735,12852,0
13836,12852,0
13937,14137,0
14039,23133,0
14138,12852,0
14237,162486,95699
14349,108324,41537
14443,361080,294293
14547,14137,0
14665,20563,0
14745,90270,23483
14849,0,0
14950,25704,0
15055,11566,0
15151,28274,0
15251,23133,0
15352,0,0
15455,32130,0
15553,14137,0
15653,12852,0
15754,12852,0
15855,11566,0
15960,0,0
16056,0,0
16156,0,0
16258,11566,0
16358,23133,0
16459,0,0
16559,13767,0
16660,24781,0
16765,20563,0
16863,14137,0
