Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
51,83048,38489
113,361080,316521
215,292474,247915
313,166571,122012
413,238312,193753
515,88118,43559
626,23133,0
719,15422,0
820,25704,0
921,238312,193753
1024,324972,280413
1121,361080,316521
1220,361080,316521
1320,361080,316521
1421,361080,316521
1521,361080,316521
1623,361080,316521
1722,361080,316521
1823,361080,316521
1924,361080,316521
2024,361080,316521
2125,361080,316521
2227,361080,316521
2326,361080,316521
2426,361080,316521
2529,361080,316521
2627,361080,316521
2727,361080,316521
2827,216648,172089
2935,72531,27972
3035,97298,52739
3133,198594,154035
3241,46267,1708
3345,34419,0
3435,38919,0
3545,46267,1708
3636,65455,20896
3745,46267,1708
3844,118848,74289
3936,256366,211807
4035,270810,226251
4137,238312,193753
4237,162486,117927
4337,119931,75372
4444,63686,19127
4550,25704,0
4650,25704,0
4756,60577,16018
4851,28274,0
4951,34700,0
5052,12852,0
5151,14137,0
5252,14137,0
5353,23133,0
5453,25704,0
5566,36108,0
5659,361080,316521
5756,23133,0
5861,0,0
5961,12852,0
6060,16180,0
6161,23133,0
6262,25704,0
6362,14137,0
6464,23133,0
6563,25704,0
6663,14137,0
6763,14137,0
6865,23133,0
6961,79437,34878
7064,12852,0
7165,23133,0
7265,14137,0
7367,12852,0
7466,13767,0
7567,18337,0
7672,25704,0
7771,34700,0
7870,23133,0
7971,28274,0
8072,12852,0
8173,28274,0
8274,12852,0
8374,13767,0
8475,12852,0
8575,23133,0
8676,0,0
8778,23133,0
8877,13767,0
8978,23133,0
9079,14137,0
9179,14137,0
9280,42411,0
9380,13767,0
9481,0,0
9582,14709,0
9683,12852,0
9785,0,0
9886,12852,0
9986,27535,0
10086,0,0
10189,12852,0
10295,12852,0
10386,144432,99873
10490,12390,0
10591,0,0
10693,12852,0
10794,13767,0
10894,14137,0
10995,23133,0
11096,0,0
11196,12852,0
11296,12852,0
11397,25704,0
11497,0,0
11597,13767,0
11698,12852,0
11800,11566,0
11902,12852,0
12001,14137,0
12101,12852,0
12202,12852,0
12303,12852,0
12406,0,0
12507,12852,0
12606,14137,0
12706,0,0
12809,23133,0
12909,0,0
13011,12852,0
13060,42411,0
13161,0,0
13263,12852,0
13362,12852,0
13463,23133,0
13564,12852,0
13664,12852,0
13765,12852,0
13871,12852,0
13966,14137,0
14066,25704,0
14167,32130,0
14270,25704,0
14369,14137,0
14470,12852,0
14574,0,0
14672,25704,0
14772,12852,0
14874,25704,0
14969,108324,63765
15079,20563,0
15173,16180,0
15274,12852,0
15375,12852,0
15475,0,0
15582,23133,0
15677,17244,0
15777,25704,0
15878,0,0
15980,23133,0
16080,0,0
16180,34700,0
16282,12852,0
16384,0,0
16488,23133,0
16585,14137,0
16683,12852,0
16785,25704,0
16887,12852,0
16991,12852,0
17088,0,0
17187,14137,0
17288,14137,0
17389,12852,0
17491,27535,0
17591,12852,0
17693,25704,0
17795,12852,0
17898,25704,0
17996,12852,0
18096,14137,0
18197,32130,0
18300,14137,0
18405,0,0
18501,25704,0
18602,14137,0
18702,12852,0
18803,12852,0
18907,0,0
19005,14137,0
19104,25704,0
19204,25704,0
19305,25704,0
19408,34700,0
19505,19459,0
19606,38556,0
19708,0,0
19813,23133,0
19911,38556,0
20011,15422,0
20112,12852,0
20213,14137,0
20312,38556,0
20412,23133,0
20513,14137,0
20615,0,0
20714,14137,0
20814,12852,0
20917,25704,0
21016,12852,0
21116,12852,0
21217,23133,0
21317,14137,0
21418,0,0
21522,12852,0
21619,0,0
21720,11566,0
21821,14137,0
21922,14137,0
22027,23133,0
22122,12852,0
22221,194983,150424
22321,79437,34878
22427,0,0
22525,25704,0
22626,12852,0
22727,34700,0
22827,12852,0
22932,12852,0
23028,0,0
23129,23133,0
23229,0,0
23333,0,0
23431,17244,0
23533,23133,0
23633,0,0
23734,23133,0
23846,32130,0
23932,43329,0
24035,12852,0
24137,34700,0
24239,12852,0
24338,25704,0
24443,25704,0
24540,14137,0
24640,23133,0
24743,14137,0
24841,12852,0
24941,25704,0
25042,12852,0
25142,0,0
25249,23133,0
25344,46267,1708
25444,12852,0
25544,25704,0
25646,23133,0
25749,14137,0
25849,14709,0
25949,12852,0
26048,14137,0
26149,12852,0
26250,12852,0
26351,12852,0
26451,12852,0
26550,25704,0
26657,0,0
26754,14137,0
26855,12852,0
26954,25704,0
27054,12852,0
27155,12852,0
27255,28218,0
27357,11566,0
27458,14137,0
27558,15422,0
27608,53978,9419
27708,25704,0
27810,12852,0
27911,25704,0
28012,0,0
28112,23133,0
28213,0,0
28313,23133,0
28413,0,0
28513,0,0
28616,12852,0
28724,0,0
28815,0,0
28916,13767,0
29017,12852,0
29117,12852,0
29218,12852,0
29319,0,0
29419,34700,0
29520,25704,0
29622,12852,0
29722,0,0
29823,23133,0
29924,12852,0
30025,25704,0
30126,0,0
30224,0,0
30325,12852,0
30425,12852,0
30530,14137,0
30628,13767,0
30733,0,0
30825,64994,20435
30933,23133,0
31031,25704,0
31133,14137,0
31232,12852,0
31332,23133,0
31438,23133,0
31534,38556,0
31635,14137,0
31737,25704,0
31840,23133,0
31938,27535,0
32038,0,0
32137,25704,0
32238,28274,0
32339,32130,0
32439,0,0
32540,12852,0
32641,25704,0
32745,12852,0
32842,14137,0
32943,0,0
33042,25704,0
33143,12852,0
33246,0,0
33343,14137,0
33445,12852,0
33547,23133,0
33651,25704,0
33747,0,0
33847,12852,0
33947,25704,0
34050,25704,0
34149,12852,0
34251,12852,0
34352,12852,0
34452,23133,0
34553,12852,0
34653,25704,0
34754,25704,0
34856,12852,0
34955,12852,0
35062,12852,0
35156,14137,0
35256,14137,0
35358,23133,0
35461,0,0
35560,23133,0
35660,15144,0
35762,12852,0
35863,14137,0
35963,12852,0
36063,12852,0
36167,23133,0
36266,0,0
36366,28274,0
36466,12852,0
36567,0,0
36669,23133,0
36770,0,0
36870,15422,0
36970,23133,0
37070,14137,0
37174,0,0
37271,34700,0
37372,28274,0
37473,12852,0
37574,14137,0
37677,12852,0
37774,35381,0
37875,0,0
37976,12852,0
38078,25704,0
38177,13767,0
