Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,108324,50405
121,299696,241777
228,361080,303161
323,144432,86513
423,194983,137064
529,51408,0
630,14137,0
728,25704,0
832,53071,0
928,288864,230945
1029,361080,303161
1131,361080,303161
1231,361080,303161
1335,64260,6341
1439,25704,0
1534,144432,86513
1634,17690,0
1738,38556,0
1835,43329,0
1938,38556,0
2039,12852,0
2138,14709,0
2239,0,0
2339,25704,0
2442,12852,0
2542,23133,0
2643,14137,0
2743,14137,0
2843,44128,0
2946,23133,0
3044,28274,0
3145,25704,0
3250,12852,0
3345,108324,50405
3449,16180,0
3549,292474,234555
3646,361080,303161
3747,361080,303161
3848,88118,30199
3951,23133,0
4053,25704,0
4155,0,0
4255,24781,0
4356,13767,0
4457,0,0
4557,0,0
4660,20563,0
4758,19459,0
4860,25704,0
4961,14137,0
5061,12852,0
5162,13767,0
5263,12852,0
5364,12852,0
5466,0,0
5568,23133,0
5668,0,0
5768,25704,0
5869,0,0
5969,51734,0
6072,12852,0
6172,23133,0
6273,12852,0
6373,27535,0
6474,0,0
6577,12852,0
6676,12852,0
6777,0,0
6878,12852,0
6978,79607,21688
7078,361080,303161
7177,34700,0
7280,25704,0
7381,28274,0
7478,72216,14297
7581,0,0
7681,32130,0
7781,15422,0
7883,23133,0
7988,23133,0
8084,14137,0
8192,75018,17099
8287,0,0
8387,0,0
8515,50012,0
8587,90270,32351
8691,23133,0
8793,23133,0
8897,0,0
8994,0,0
9093,25704,0
9199,25704,0
9294,252756,194837
9392,180540,122621
9497,12852,0
9597,14709,0
9700,12852,0
9749,0,0
9851,13767,0
9950,14709,0
10052,12852,0
10152,12852,0
10253,0,0
10353,32130,0
10454,0,0
10554,13767,0
10655,12852,0
10755,12852,0
10856,12852,0
10957,12852,0
11057,23133,0
11157,0,0
11258,23133,0
11359,23133,0
11459,15144,0
11560,12852,0
11660,0,0
11761,11566,0
11861,12852,0
11962,0,0
12080,33341,0
12162,48465,0
12265,0,0
12365,14709,0
12470,12852,0
12568,32130,0
12667,12852,0
12768,0,0
12868,0,0
12969,23133,0
13070,0,0
13173,288864,230945
13269,361080,303161
13370,36108,0
13476,12852,0
13575,0,0
13676,25704,0
13777,14709,0
