Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
48,653458,317555
78,1397655,1061752
173,1257889,921986
269,1118124,782221
369,1118124,782221
465,279531,0
570,31843,0
673,230234,0
775,193294,0
874,181683,0
974,144970,0
1074,83721,0
1176,0,0
1280,28274,0
1384,23133,0
1476,0,0
1582,12852,0
1678,0,0
1784,32130,0
1880,541260,205357
1982,978358,642455
2088,11566,0
2187,31843,0
2289,0,0
2385,153489,0
2491,41677,0
2593,14137,0
2698,23133,0
2794,39616,0
2896,28274,0
2991,664705,328802
3090,258159,0
3191,258159,0
3292,0,0
3398,32130,0
3497,19459,0
3601,12852,0
3737,88118,0
3796,376747,40844
3902,28274,0
4004,12852,0
4097,76744,0
4203,12852,0
4304,0,0
4398,174420,0
4506,0,0
4599,125582,0
4717,230234,0
4813,1397655,1061752
4908,559062,223159
5013,63686,0
5111,209303,0
5215,25704,0
5318,12852,0
5412,69768,0
5516,25704,0
5617,12852,0
5723,0,0
5819,35381,0
5921,14137,0
6020,14109,0
6121,12852,0
6222,0,0
6328,12852,0
6419,76744,0
6523,31843,0
6625,25704,0
6746,23133,0
6824,460468,124565
6926,25704,0
7024,209303,0
7127,11566,0
7236,15422,0
7324,209303,0
7429,11566,0
7553,110148,0
7626,258141,0
7731,0,0
7831,26476,0
7932,0,0
8041,0,0
8134,32360,0
8234,23133,0
8336,0,0
8435,139536,0
8536,11566,0
8637,460468,124565
8737,698827,362924
8838,74644,0
8943,14709,0
9047,25704,0
9140,69768,0
9246,25704,0
9346,25704,0
9450,12852,0
9544,25557,0
9648,12852,0
9748,14137,0
9865,404654,68751
9945,1397655,1061752
10045,1397655,1061752
10145,139765,0
10251,12852,0
10301,0,0
10402,38556,0
10502,69768,0
10603,139536,0
10703,12852,0
10805,23133,0
10907,25704,0
11002,1118124,782221
11106,25704,0
11206,14137,0
11307,23133,0
11409,14137,0
11512,23133,0
11612,0,0
11712,25704,0
11813,23133,0
11920,387653,51750
12019,14137,0
12120,14137,0
12220,12852,0
12323,23133,0
12419,0,0
12521,0,0
12621,23133,0
12722,16670,0
12824,69768,0
12922,230234,0
13021,838593,502690
13122,55055,0
13226,35381,0
13327,34700,0
13430,12852,0
13524,139536,0
13629,0,0
13736,32130,0
13829,38919,0
13956,251164,0
14029,1135903,800000
14126,559062,223159
14231,0,0
14332,0,0
14434,11566,0
14537,0,0
14634,13767,0
14734,23133,0
14835,14137,0
14942,38556,0
15033,341848,5945
15139,0,0
15239,25704,0
15340,12852,0
15436,76744,0
15540,17690,0
15641,35381,0
15743,0,0
15848,20563,0
15940,76744,0
16040,731175,395272
16142,0,0
16247,24781,0
16342,0,0
16447,0,0
16543,125582,0
16647,0,0
16749,14137,0
16851,25704,0
16948,62717,0
17050,25704,0
17151,306979,0
17246,474789,138886
17350,0,0
17451,0,0
17553,20563,0
17654,0,0
17755,14137,0
17851,69768,0
17956,0,0
18057,38556,0
18163,12852,0
18256,689160,353257
18356,556908,221005
18460,0,0
18564,14137,0
18661,25704,0
18764,23133,0
18863,0,0
18969,38556,0
19063,313955,0
19167,38556,0
19261,0,0
19367,23133,0
19467,25704,0
19566,16180,0
19670,23133,0
19764,0,0
19870,0,0
19967,37472,0
20073,63686,0
20171,835629,499726
20266,503155,167252
20370,18337,0
20471,35381,0
20572,0,0
20677,23133,0
20770,0,0
20876,12852,0
20976,12852,0
21076,15422,0
21197,44226,0
21279,949579,613676
21375,475242,139339
21482,14137,0
21592,174420,0
21679,230234,0
21785,108944,0
21880,613958,278055
21993,32130,0
22086,18337,0
22188,613958,278055
22288,32130,0
22383,0,0
22487,35381,0
22588,31843,0
22686,69768,0
22794,12852,0
22894,121163,0
22989,58926,0
23092,23133,0
23191,209303,0
23293,750145,414242
23393,25704,0
23494,32360,0
23595,34700,0
23692,76744,0
23799,11566,0
23893,113949,0
23994,125582,0
24102,24781,0
24203,516870,180967
24299,171046,0
24403,0,0
24503,31354,0
24614,15921,0
24705,21228,0
24807,14137,0
24907,31843,0
25009,12852,0
25104,0,0
25216,99040,0
25305,1257889,921986
25413,12852,0
25506,139536,0
25611,30007,0
25707,76744,0
25815,13767,0
25908,0,0
26013,11566,0
26115,33341,0
26217,0,0
26264,20563,0
26365,25704,0
26465,25704,0
26566,12852,0
26668,0,0
26763,69768,0
26868,17690,0
26969,14709,0
27071,26476,0
27173,12852,0
27270,348840,12937
27367,709939,374036
27472,15921,0
27573,25704,0
27674,0,0
27782,23133,0
27876,28274,0
27977,0,0
28077,0,0
28175,125582,0
28274,0,0
28374,348840,12937
28478,0,0
28585,14137,0
28675,125582,0
28779,33341,0
28880,12852,0
28976,76744,0
29081,0,0
29182,23133,0
29286,29418,0
29379,383724,47821
29484,0,0
29590,23133,0
29686,14137,0
29786,35381,0
29888,12852,0
29989,12852,0
30090,28218,0
30189,14137,0
30287,69768,0
30386,851927,516024
30493,28305,0
30592,31354,0
30693,104529,0
30791,48212,0
30892,34489,0
30996,12852,0
31094,0,0
31190,188373,0
31298,125582,0
31391,1118124,782221
31491,559062,223159
31597,11566,0
31696,14137,0
31797,12852,0
31897,14137,0
31997,15003,0
32105,12852,0
32198,17244,0
32299,13767,0
32433,674201,338298
32500,1397655,1061752
32603,0,0
32709,10281,0
32806,38919,0
32906,15003,0
33007,0,0
33110,12852,0
33209,34700,0
33309,23133,0
33412,383724,47821
33506,978358,642455
33611,13767,0
33708,230234,0
33811,12852,0
33915,139536,0
34011,17690,0
34118,11566,0
34215,16180,0
34314,23133,0
34414,110148,0
34512,1290799,954896
34612,167718,0
34721,99133,0
34821,25704,0
34922,12852,0
35018,0,0
35121,12852,0
35222,12852,0
35321,35381,0
35423,230234,0
35520,914841,578938
35623,22029,0
35726,14137,0
35821,950484,614581
35927,25704,0
36027,31843,0
36129,13767,0
36229,18337,0
36331,23133,0
36493,188373,0
36560,1397655,1061752
36627,517132,181229
36733,31354,0
36830,139536,0
36936,0,0
37035,12852,0
37136,25704,0
37237,12852,0
37336,30007,0
37439,0,0
37551,252756,0
37634,1290799,954896
37734,139765,0
37839,14137,0
37940,63686,0
38036,0,0
38141,0,0
38242,22028,0
38343,38556,0
38450,0,0
38566,1161719,825816
38640,195671,0
38747,11566,0
38845,14137,0
38942,76744,0
39046,25704,0
39148,11566,0
39249,28274,0
39349,15677,0
39449,23133,0
39554,418607,82704
39646,1215959,880056
39747,251164,0
39850,12852,0
39955,25704,0
40052,18337,0
40152,16670,0
40253,32360,0
40355,23133,0
40456,12852,0
40554,153489,0
40657,12852,0
40759,348840,12937
40857,768710,432807
40961,11566,0
41059,20005,0
41160,23133,0
41260,29418,0
