Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
72,90270,0
112,361080,75827
218,288864,3611
320,361080,75827
419,317750,32497
515,292474,7221
616,196271,0
715,39718,0
830,23133,0
921,0,0
1023,34700,0
1128,222346,0
1220,91873,0
1325,30288,0
1425,12852,0
1526,12852,0
1626,27535,0
1726,23133,0
1827,14137,0
1927,25704,0
2034,12852,0
2129,44128,0
2231,292474,7221
2328,39718,0
2429,129988,0
2532,12852,0
2633,25704,0
2734,25704,0
2834,25704,0
2942,11566,0
3036,14137,0
3136,0,0
3237,23133,0
3339,0,0
3438,14137,0
3538,0,0
3638,34700,0
3739,12852,0
3849,11566,0
3942,14137,0
4037,144432,0
4141,0,0
4245,77838,0
4340,216648,0
4443,20563,0
4544,0,0
4651,12852,0
4750,23133,0
4852,0,0
4950,38556,0
5052,28274,0
5152,38556,0
5253,23133,0
5354,14137,0
5454,12852,0
5554,12852,0
5658,12852,0
5757,0,0
5857,0,0
5959,20563,0
6060,0,0
6161,0,0
6265,12852,0
6364,24781,0
6465,0,0
6567,12852,0
6668,12852,0
6769,23133,0
6871,14137,0
6971,0,0
7073,12852,0
7174,23133,0
7275,14137,0
7375,88453,0
7476,70762,0
7577,34700,0
7679,34419,0
7782,23133,0
7879,14137,0
7980,13767,0
8081,14109,0
8182,12852,0
8284,0,0
8386,41303,0
8483,361080,75827
8583,38556,0
8685,0,0
8787,20563,0
8886,14137,0
8986,0,0
9089,11566,0
9190,0,0
9290,12852,0
9391,35381,0
9513,361080,75827
9588,361080,75827
9690,108324,0
9789,361080,75827
9894,34700,0
9996,12852,0
10096,14137,0
10196,12852,0
10299,12852,0
10400,12852,0
10499,23133,0
10600,14137,0
10700,12852,0
10802,12852,0
10910,29418,0
10998,0,0
11102,11566,0
11203,23133,0
11304,0,0
11404,0,0
11505,28218,0
11606,13767,0
11710,0,0
11810,0,0
11910,24781,0
12011,15422,0
12111,12852,0
12212,25704,0
12312,23133,0
12409,158875,0
12513,12852,0
12613,26476,0
12716,0,0
12817,12852,0
12917,0,0
13017,25704,0
13119,12852,0
13219,0,0
13317,16180,0
13418,25704,0
13519,70762,0
13623,11566,0
13721,14137,0
13822,23133,0
13923,25704,0
14023,12852,0
14126,0,0
14223,28218,0
14324,0,0
14431,13767,0
14533,104529,0
14638,361080,75827
14725,361080,75827
14825,361080,75827
14926,29463,0
15030,23133,0
15135,10281,0
15233,25704,0
15331,14137,0
15432,23133,0
15538,12852,0
15582,32130,0
15688,32130,0
15784,12852,0
15885,0,0
15986,12852,0
16087,12852,0
16190,23133,0
16287,14137,0
16387,12852,0
16487,26476,0
16588,16180,0
16695,25704,0
16789,25704,0
16889,15422,0
16990,23133,0
17090,38556,0
17197,0,0
17290,34700,0
17391,28274,0
17491,14137,0
17592,12852,0
17692,12852,0
17795,12852,0
17890,90270,0
17995,11566,0
18095,14137,0
18195,12852,0
18294,12852,0
18394,12852,0
18497,14137,0
18594,0,0
18699,23133,0
18799,0,0
18899,12852,0
18999,25704,0
19100,12852,0
19201,12852,0
19302,0,0
19402,12852,0
19503,0,0
19604,20563,0
19702,144432,0
19805,12852,0
19906,0,0
20007,0,0
20109,12852,0
20210,0,0
20310,23133,0
20411,12852,0
20511,0,0
20612,12852,0
20722,281054,0
20810,361080,75827
20913,0,0
21014,25704,0
21138,12852,0
21214,58379,0
21316,14137,0
21417,20563,0
21519,0,0
21617,38556,0
21718,0,0
21818,25704,0
21919,12852,0
22018,0,0
22119,13767,0
22220,12852,0
22321,0,0
22422,0,0
22523,12852,0
22624,12852,0
22725,12852,0
22826,0,0
22927,12852,0
23026,24781,0
23128,0,0
23228,25704,0
23328,14137,0
23431,23133,0
23530,0,0
23631,26476,0
23732,12852,0
23833,0,0
23934,12852,0
24034,24781,0
24135,0,0
24236,12852,0
24345,20563,0
24433,180540,0
24545,10281,0
24640,14137,0
24737,14137,0
24838,12852,0
24940,14137,0
25040,12852,0
25140,23133,0
25241,0,0
25342,0,0
25443,26476,0
25544,12852,0
25646,0,0
25745,37172,0
25843,324972,39719
25943,0,0
26048,11566,0
26150,12852,0
26249,16180,0
26352,12852,0
26452,13767,0
26553,23133,0
26656,0,0
26756,12852,0
26867,252756,0
26956,361080,75827
27054,361080,75827
27162,52693,0
27259,12852,0
27359,23133,0
27460,14137,0
27566,11566,0
27661,25704,0
27762,12852,0
27864,0,0
27965,46267,0
28068,0,0
28167,25704,0
28268,12852,0
28369,12852,0
28469,12852,0
28573,11566,0
28673,25704,0
28774,13767,0
28876,12852,0
28977,0,0
29078,23133,0
29180,12852,0
29280,14709,0
29380,0,0
29481,12852,0
29582,12852,0
29682,0,0
29785,12852,0
29884,12852,0
29985,0,0
30086,0,0
30186,11566,0
30293,20563,0
30389,0,0
30489,12852,0
30590,12852,0
30690,26476,0
30792,0,0
30891,66089,0
30992,14137,0
31093,14137,0
31193,23133,0
31300,0,0
31394,53071,0
31494,12852,0
31596,0,0
31699,11566,0
31796,14137,0
31908,32130,0
31994,314139,28886
32098,0,0
32201,23133,0
32299,14137,0
32400,25704,0
32501,12852,0
32601,23133,0
32706,0,0
32803,25704,0
32904,0,0
33011,317750,32497
33058,361080,75827
33157,101989,0
33260,0,0
33363,23133,0
33461,0,0
33561,0,0
33662,0,0
33763,0,0
33866,12852,0
33964,24781,0
34064,14137,0
34165,14137,0
34266,25704,0
34366,23133,0
34466,13238,0
34567,12852,0
34672,0,0
34769,50012,0
34870,12852,0
34970,0,0
35071,25704,0
35173,25704,0
35274,12852,0
35374,14137,0
35474,0,0
35575,0,0
35676,12390,0
35776,13767,0
35877,0,0
35978,11566,0
36079,12852,0
36179,13767,0
36281,0,0
36381,0,0
36491,19278,0
36583,0,0
36685,12852,0
36786,0,0
36888,13767,0
36985,39718,0
