Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,127785,79817
118,288864,240896
228,292474,244506
321,146582,98614
420,361080,313112
520,361080,313112
620,361080,313112
724,20563,0
823,180540,132572
925,12852,0
1027,14137,0
1126,14709,0
1227,70762,22794
1328,12852,0
1435,20563,0
1527,133599,85631
1630,11566,0
1731,0,0
1834,292474,244506
1930,90270,42302
2030,216648,168680
2132,97491,49523
2237,32130,0
2344,12852,0
2437,0,0
2538,12852,0
2639,23133,0
2741,0,0
2840,12852,0
2940,216648,168680
3040,227480,179512
3141,0,0
3245,0,0
3344,25704,0
3444,12852,0
3545,12852,0
3651,14137,0
3749,12852,0
3850,12852,0
3950,0,0
4051,0,0
4158,11566,0
4252,13767,0
4354,0,0
4456,11566,0
4557,23133,0
4661,0,0
4759,25704,0
4861,14137,0
4959,62708,14740
5061,12852,0
5161,12852,0
5262,12852,0
5364,12852,0
5465,25704,0
5572,12852,0
5668,14709,0
5769,12852,0
5869,25704,0
5970,0,0
6071,32130,0
6173,0,0
6273,14137,0
6375,12852,0
6477,23133,0
6578,0,0
6677,12852,0
6778,12852,0
6876,119156,71188
6986,23133,0
7085,12852,0
7182,12852,0
7283,12852,0
7384,0,0
7485,23133,0
7585,12852,0
7635,0,0
7738,11566,0
7838,12852,0
7938,58379,10411
8039,0,0
8142,12852,0
8236,144432,96464
8341,11566,0
8440,12852,0
8540,0,0
8644,23133,0
8745,12852,0
8844,12852,0
8947,34700,0
9041,198594,150626
9148,23133,0
9247,0,0
9346,23133,0
9447,12852,0
9548,25704,0
9650,12852,0
9749,14709,0
9850,12852,0
9960,11566,0
10057,287607,239639
10151,158875,110907
10255,0,0
10358,0,0
10461,23133,0
10558,14137,0
10659,23133,0
10759,14137,0
10861,12852,0
10962,23133,0
11062,12852,0
11162,14137,0
11262,12852,0
11362,12852,0
11464,12852,0
11569,24781,0
11662,79437,31469
11767,0,0
11870,12852,0
11968,11566,0
12069,12852,0
12169,0,0
12270,12852,0
12374,11566,0
12472,14137,0
12572,0,0
12673,12852,0
12773,11566,0
12881,0,0
12974,180540,132572
13077,0,0
13180,25704,0
13278,25704,0
13378,12852,0
13479,0,0
13581,12852,0
13681,23133,0
13782,0,0
13883,12852,0
13984,34700,0
14082,90270,42302
14185,14137,0
14287,12852,0
14386,0,0
14487,12852,0
14588,23133,0
14689,13767,0
14790,12852,0
14894,12852,0
14990,38919,0
15092,34700,0
15196,292474,244506
15290,324972,277004
15394,23133,0
15497,23133,0
15597,14137,0
15696,25704,0
15797,23133,0
15899,14137,0
16002,12852,0
16101,23133,0
16203,0,0
16304,12852,0
16405,24781,0
16507,0,0
16607,12852,0
16708,12852,0
16809,12852,0
16909,12852,0
17010,12852,0
17112,0,0
17213,12852,0
17313,23133,0
17415,0,0
17515,24781,0
17619,0,0
17719,12852,0
17820,12852,0
17920,12852,0
18022,23133,0
18132,13767,0
18220,158875,110907
18324,0,0
18424,23133,0
18525,0,0
18626,12852,0
18727,12852,0
18828,11566,0
18929,0,0
19030,12852,0
19128,144432,96464
19231,0,0
19333,0,0
19434,23133,0
19535,0,0
19638,0,0
19740,0,0
19836,0,0
19936,12852,0
20039,12852,0
20141,25704,0
20238,198594,150626
20340,11566,0
20440,14137,0
20541,23133,0
20643,0,0
20743,14137,0
20843,23133,0
20945,14137,0
21048,32130,0
21145,0,0
21245,108324,60356
21345,216648,168680
21447,38556,0
21548,0,0
21653,13238,0
21700,78385,30417
21800,0,0
21901,0,0
22002,0,0
22102,0,0
22207,12852,0
22306,288864,240896
22404,14137,0
22506,12852,0
22610,12852,0
22706,25704,0
22807,12852,0
22908,0,0
23010,23133,0
23115,0,0
23209,34700,0
23310,12852,0
23411,12852,0
23517,12852,0
23612,14137,0
23714,0,0
23815,12852,0
23920,23133,0
24016,12852,0
24117,0,0
24217,12852,0
24318,12852,0
24425,0,0
24520,34700,0
24620,12852,0
24722,12852,0
24831,12852,0
24923,12852,0
25024,0,0
25121,144432,96464
25227,34700,0
25321,144432,96464
25428,0,0
25525,23133,0
25626,23133,0
25727,14137,0
25831,20563,0
25929,14137,0
26029,0,0
26131,12852,0
26231,0,0
26350,23133,0
26430,101102,53134
26534,0,0
26637,14137,0
26737,12852,0
26837,14137,0
26938,32130,0
27038,14137,0
27140,12852,0
27241,12852,0
27342,12852,0
27450,292474,244506
27540,361080,313112
27640,361080,313112
27748,12852,0
27848,32130,0
27948,12852,0
28048,12852,0
28149,0,0
28253,14137,0
28349,0,0
28450,14137,0
28551,0,0
28648,79437,31469
28752,11566,0
28855,25704,0
28954,12852,0
29056,0,0
29156,23133,0
29259,0,0
29358,23133,0
29458,0,0
29559,13767,0
29661,12852,0
29764,0,0
29860,14137,0
29961,0,0
30061,23133,0
30163,0,0
30269,0,0
30365,34700,0
30465,0,0
30566,12852,0
30674,11566,0
30768,25704,0
30868,12852,0
30969,0,0
31070,12852,0
31176,0,0
31276,13767,0
31375,70762,22794
31476,16670,0
31579,11566,0
31681,12852,0
31780,13767,0
31880,12852,0
31984,11566,0
32080,144432,96464
32186,12852,0
32284,25704,0
32385,23133,0
32487,0,0
32603,30007,0
32687,46840,0
32790,14137,0
32890,23133,0
32991,12852,0
33092,15144,0
33194,11566,0
33294,23133,0
33395,0,0
33510,12852,0
33599,361080,313112
33699,278031,230063
33803,34700,0
33854,25704,0
33954,38556,0
34056,23133,0
34155,0,0
34255,14137,0
34355,14137,0
34458,23133,0
34557,0,0
34658,13767,0
34758,24781,0
34860,0,0
