Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
67,75826,26676
129,180540,131390
227,361080,311930
323,227480,178330
423,252756,203606
524,324972,275822
631,0,0
725,216648,167498
776,0,0
878,0,0
979,14137,0
1083,114887,65737
1178,317750,268600
1292,361080,311930
1379,361080,311930
1480,278031,228881
1580,119156,70006
1682,53071,3921
1785,34700,0
1886,45433,0
1990,46267,0
2085,32130,0
2185,25704,0
2286,56437,7287
2389,74945,25795
2487,324972,275822
2585,198594,149444
2689,0,0
2791,12852,0
2892,12852,0
2991,0,0
3093,28218,0
3193,16670,0
3303,25704,0
3398,324972,275822
3493,361080,311930
3595,324972,275822
3698,26476,0
3801,0,0
3903,14137,0
4003,11566,0
4104,41303,0
4204,12852,0
4305,0,0
4410,14137,0
4507,83354,34204
4609,12852,0
4708,12852,0
4807,25704,0
4908,23133,0
5009,0,0
5110,25704,0
5212,23133,0
5313,0,0
5415,23133,0
5513,39718,0
5613,288864,239714
5716,12852,0
5821,0,0
5915,96930,47780
6018,12852,0
6118,0,0
6219,25704,0
6320,12852,0
6423,0,0
6521,25704,0
6622,23133,0
6722,23133,0
6823,25704,0
6944,23133,0
7024,361080,311930
7123,238312,189162
7223,144432,95282
7327,14137,0
7423,144432,95282
7527,14137,0
7628,12852,0
7729,12852,0
7833,20563,0
7931,0,0
8032,14137,0
8137,324972,275822
8238,123834,74684
8334,0,0
8434,23133,0
8535,12852,0
8635,12852,0
8740,0,0
8836,14137,0
8936,11566,0
9037,0,0
9139,12852,0
9238,23133,0
9337,252756,203606
9439,42411,0
9565,53071,3921
9644,65455,16305
9743,0,0
9844,23133,0
9945,12852,0
10048,0,0
10151,14137,0
10247,25704,0
10347,23133,0
10448,34700,0
10549,0,0
10652,162486,113336
10753,198594,149444
10850,252756,203606
10951,361080,311930
11051,361080,311930
11153,70762,21612
11256,0,0
11359,11566,0
11458,13767,0
11564,20563,0
11663,216648,167498
11758,133599,84449
11861,72216,23066
11960,317750,268600
12076,23133,0
12163,288864,239714
12265,23133,0
12373,14137,0
12468,30288,0
12568,23133,0
12669,23133,0
12770,0,0
12875,0,0
12969,28274,0
13071,15422,0
13185,270810,221660
13273,90114,40964
13376,38556,0
13476,34700,0
13578,14137,0
13678,0,0
13778,32130,0
13886,252756,203606
13988,38556,0
14031,36773,0
14132,12852,0
14232,0,0
14333,12852,0
14433,198594,149444
14531,252756,203606
14636,0,0
14736,25704,0
14859,12852,0
14951,288864,239714
15040,25704,0
15142,0,0
15242,12852,0
15345,11566,0
15444,13767,0
15557,0,0
15646,19459,0
15749,0,0
15846,288864,239714
15946,216648,167498
16054,38556,0
16156,39715,0
16255,51734,2584
16356,25704,0
16456,25704,0
16559,12852,0
16657,25704,0
16757,14709,0
16858,14709,0
16961,12852,0
17065,37172,0
17158,119156,70006
17261,324972,275822
17364,57834,8684
17462,82440,33290
17564,25704,0
17670,0,0
17766,30288,0
17867,34700,0
17970,73547,24397
18066,223869,174719
18175,10281,0
18272,28274,0
18373,23133,0
18471,288864,239714
18573,89964,40814
18676,70762,21612
18775,25704,0
18874,23133,0
18976,14137,0
19077,0,0
19176,25704,0
19276,23133,0
19377,0,0
19481,11566,0
19578,14137,0
19680,34700,0
19780,216648,167498
19879,0,0
19994,63686,14536
20088,20610,0
20204,170487,121337
20287,119156,70006
20391,14137,0
20491,23133,0
20598,41303,0
20694,15422,0
20793,12852,0
20894,12852,0
21000,14137,0
21094,324972,275822
21193,198594,149444
21297,0,0
21398,12852,0
21501,11566,0
21601,14709,0
21702,12852,0
21802,15144,0
21903,0,0
22006,23133,0
22105,23133,0
22206,0,0
22306,23133,0
22407,13767,0
22508,12852,0
22608,12852,0
22708,15677,0
22809,0,0
22910,23133,0
23010,14137,0
23113,0,0
23212,25704,0
23311,133954,84804
23419,0,0
23510,180540,131390
23613,11566,0
23714,0,0
23818,118848,69698
23917,227480,178330
24017,38919,0
24119,0,0
24222,11566,0
24320,25704,0
24421,12852,0
24521,14137,0
24625,23133,0
24723,0,0
24824,198594,149444
24924,288864,239714
25027,23133,0
25125,70762,21612
25226,0,0
25326,12852,0
25430,12852,0
25528,34700,0
25628,14137,0
25729,32130,0
25837,12852,0
25931,0,0
26070,249145,199995
26134,361080,311930
26235,47031,0
26335,32130,0
26437,12852,0
26534,65455,16305
26636,23133,0
26742,11566,0
26789,32130,0
26893,12852,0
26989,23133,0
27095,194983,145833
27187,361080,311930
27286,97491,48341
27412,23133,0
27489,38919,0
27591,288864,239714
27699,158875,109725
27794,259977,210827
27898,0,0
27999,12852,0
28100,12852,0
28198,15144,0
28299,14137,0
28400,12852,0
28503,34700,0
28602,0,0
28708,259977,210827
28804,198594,149444
