Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,126378,65443
80,361080,300145
182,361080,300145
280,252756,191821
383,252756,191821
482,90270,29335
587,23133,0
687,17690,0
789,25704,0
888,145396,84461
985,361080,300145
1085,292474,231539
1198,361080,300145
1290,361080,300145
1387,198594,137659
1490,13767,0
1588,64994,4059
1692,12852,0
1792,14137,0
1895,25704,0
1994,12852,0
2098,42411,0
2193,278031,217096
2297,14137,0
2397,38556,0
2498,14137,0
2597,25704,0
2697,34700,0
2797,25704,0
2898,12852,0
3000,14137,0
3100,13767,0
3202,25704,0
3302,0,0
3402,14137,0
3511,57834,0
3602,278031,217096
3701,198594,137659
3804,23133,0
3905,0,0
4006,12852,0
4108,12852,0
4209,12852,0
4310,12852,0
4412,12852,0
4525,23133,0
4610,43329,0
4713,14152,0
4814,12852,0
4915,11566,0
5021,0,0
5118,0,0
5219,12852,0
5321,11566,0
5422,0,0
5525,0,0
5622,23133,0
5722,0,0
5824,0,0
5926,11566,0
6024,0,0
6125,12852,0
6226,0,0
6328,12852,0
6435,0,0
6527,23133,0
6629,14137,0
6726,133599,72664
6828,23133,0
6933,12852,0
7029,14137,0
7130,0,0
7230,12852,0
7331,23133,0
7434,14137,0
7534,14137,0
7634,23133,0
7736,61954,1019
7841,238312,177377
7933,43329,0
8036,23133,0
8139,14137,0
8240,23133,0
8339,25704,0
8439,0,0
8541,0,0
8641,32130,0
8746,12852,0
8843,0,0
8943,12852,0
9045,12852,0
9147,23133,0
9245,0,0
9346,32130,0
9447,0,0
9548,12852,0
9649,12852,0
9751,12852,0
9850,12852,0
9951,12852,0
10052,12852,0
10152,14137,0
10254,23133,0
10354,12852,0
10455,23133,0
10555,15422,0
10655,14137,0
10761,29559,0
10856,0,0
10957,14137,0
11058,12852,0
11155,36108,0
11260,11566,0
11361,12852,0
11461,27535,0
11562,0,0
11666,23133,0
11759,36108,0
11864,0,0
11963,12852,0
12064,14137,0
12165,25704,0
12264,23133,0
12367,12852,0
12467,14137,0
12568,12852,0
12669,12852,0
12770,23133,0
12820,0,0
12921,12852,0
13022,12852,0
13123,0,0
13223,12852,0
13324,23133,0
13424,77838,16903
13526,12852,0
13628,0,0
13727,13767,0
13829,12852,0
13930,12852,0
14032,0,0
14133,12852,0
14233,31843,0
14334,0,0
14454,129988,69053
14533,361080,300145
14636,51408,0
14738,12852,0
14839,23133,0
14940,12852,0
15045,0,0
15140,12852,0
15241,0,0
15342,11566,0
15443,0,0
15546,12852,0
15646,25704,0
15745,28274,0
15845,23133,0
15946,23133,0
16050,0,0
16150,12852,0
16251,14137,0
16351,12852,0
16452,12852,0
16554,12852,0
16654,12852,0
16754,12852,0
16855,0,0
16956,23133,0
17057,14137,0
17158,0,0
17255,129988,69053
17358,23133,0
17459,12852,0
17561,12852,0
17661,0,0
17762,23133,0
17863,12852,0
17965,12852,0
18064,0,0
18166,25704,0
18266,12852,0
18368,12852,0
18465,32497,0
18570,0,0
18670,13767,0
18771,0,0
18872,12852,0
18973,11566,0
19073,14709,0
19175,12852,0
19275,12852,0
19376,12852,0
19477,12852,0
19575,288864,227929
19677,14709,0
19779,0,0
19879,23133,0
19979,0,0
20080,12852,0
20181,0,0
20284,12852,0
20384,23133,0
20484,12852,0
20613,287994,227059
20683,361080,300145
20783,108324,47389
20887,0,0
20989,12852,0
21091,11566,0
21193,0,0
21291,12852,0
21392,0,0
21493,0,0
21596,23133,0
21695,0,0
21796,23133,0
21897,0,0
21999,0,0
22105,11566,0
22199,14137,0
22300,0,0
22402,0,0
22502,12852,0
22602,0,0
22704,0,0
22804,11566,0
22855,20563,0
22957,0,0
23058,0,0
23160,12852,0
23265,0,0
23361,14137,0
23462,14137,0
23562,25704,0
23663,25704,0
23766,11566,0
23867,25704,0
23962,119156,58221
24066,23133,0
24167,0,0
24273,11566,0
24369,0,0
24470,23133,0
24566,119156,58221
24670,12852,0
24772,0,0
24870,12852,0
24971,12852,0
25072,14137,0
25173,0,0
25277,12852,0
25373,12852,0
25473,23133,0
25574,14137,0
25675,79607,18672
25776,12852,0
25876,12852,0
25977,0,0
26076,33341,0
26187,12852,0
26278,30007,0
26380,12852,0
26480,14137,0
26583,23133,0
26684,14137,0
26783,361080,300145
26881,119156,58221
26986,25704,0
27090,23133,0
27193,53071,0
27288,17244,0
27389,14137,0
27490,23133,0
27593,11566,0
27696,28274,0
27789,324972,264037
27888,361080,300145
27993,0,0
28096,0,0
28193,23133,0
28294,12852,0
28394,23133,0
28495,23133,0
28600,11566,0
28697,25704,0
28797,12852,0
28898,32130,0
29002,0,0
29099,25704,0
29199,0,0
29300,0,0
29404,12852,0
29501,12852,0
29601,23133,0
29702,0,0
29803,0,0
29905,12852,0
30006,12852,0
30107,12852,0
30210,12852,0
30303,119156,58221
30406,11566,0
30508,0,0
30608,23133,0
30706,119156,58221
30812,12852,0
30913,0,0
31016,12852,0
31116,12852,0
31217,13767,0
31318,14137,0
31419,13767,0
31521,12852,0
31621,12852,0
31723,0,0
31824,121776,60841
31921,36108,0
32030,180540,119605
32122,35381,0
32224,25704,0
32325,14137,0
32425,25704,0
32527,23133,0
32627,0,0
32728,12852,0
32832,14137,0
32935,252756,191821
33029,162486,101551
33134,0,0
33235,0,0
33336,0,0
33442,12852,0
33539,12852,0
33641,23133,0
33745,12852,0
33839,31354,0
33903,0,0
33991,0,0
34092,12852,0
34194,0,0
34294,0,0
34400,11566,0
34496,18812,0
34597,12852,0
34699,25704,0
34803,12852,0
34899,14137,0
34999,12852,0
35101,23133,0
35201,14137,0
35307,0,0
35403,25704,0
35504,12852,0
35606,0,0
35711,12852,0
35806,23133,0
35908,12852,0
36009,12852,0
36110,0,0
36214,12852,0
36313,12852,0
36414,12852,0
36516,23133,0
36616,0,0
36718,25704,0
36816,50012,0
36924,47764,0
37019,0,0
37120,20563,0
37221,21228,0
37326,11566,0
37423,0,0
37524,11566,0
37625,12852,0
37726,0,0
37826,0,0
37939,20563,0
38028,314139,253204
38127,162486,101551
38230,25704,0
38331,14137,0
38434,12852,0
38533,34700,0
38634,15422,0
38735,23133,0
38837,32130,0
38953,23133,0
39040,314139,253204
39137,15422,0
39239,25704,0
39345,11566,0
39441,0,0
39542,14137,0
39642,34700,0
39743,25704,0
39847,11566,0
39944,14137,0
40045,0,0
40146,12852,0
40251,12852,0
40348,11566,0
40453,0,0
40549,35381,0
40651,12852,0
40752,12852,0
40853,14709,0
40954,0,0
41057,23133,0
41156,0,0
41257,11566,0
41357,13767,0
41458,0,0
41559,23133,0
41659,0,0
41760,12852,0
41860,11566,0
41960,76492,15557
42063,12852,0
42163,12852,0
42264,0,0
42364,24781,0
42466,12852,0
42568,11566,0
42668,0,0
42769,23133,0
42870,12852,0
42969,14137,0
43077,49563,0
43170,361080,300145
43269,361080,300145
43369,36108,0
43473,0,0
43577,23133,0
43676,12852,0
43772,0,0
43875,23133,0
43976,13767,0
44094,25704,0
44176,361080,300145
44275,317750,256815
44376,36108,0
44480,11566,0
44583,0,0
44682,27535,0
44732,25704,0
44833,12852,0
44933,12852,0
45034,12852,0
45135,0,0
45234,14137,0
45337,24781,0
45436,25704,0
45536,23133,0
45637,0,0
45736,13767,0
45840,14137,0
45938,25704,0
46038,12852,0
46140,25704,0
46239,23133,0
46347,12852,0
46440,0,0
46541,12852,0
46642,23133,0
46747,12852,0
46847,0,0
46940,97491,36556
47043,12852,0
47144,14137,0
47246,0,0
47347,12852,0
47448,12852,0
47549,12852,0
47650,23133,0
47750,12852,0
47853,0,0
47952,12852,0
48057,12852,0
48150,79437,18502
48254,11566,0
48362,12852,0
48455,0,0
48556,12852,0
48656,12852,0
48762,0,0
48859,26476,0
48959,0,0
49059,0,0
49160,23133,0
49260,53071,0
49361,14137,0
49461,25704,0
49563,12852,0
49663,23133,0
49765,12852,0
49864,15422,0
49966,12852,0
50066,12852,0
50167,25704,0
50266,180540,119605
50366,324972,264037
50469,25704,0
50572,32130,0
50672,25704,0
50773,34700,0
50885,34700,0
50971,0,0
51073,34700,0
51173,12852,0
51275,15422,0
51379,12852,0
51477,23133,0
51577,12852,0
51677,12852,0
51778,0,0
51879,0,0
51980,12852,0
52080,0,0
52181,23133,0
52283,0,0
52383,12852,0
52483,12852,0
52584,12852,0
52685,12852,0
52786,0,0
52887,12852,0
52987,23133,0
53087,0,0
53187,0,0
53288,23133,0
53389,0,0
53491,11566,0
53591,12852,0
53692,0,0
53793,32130,0
53895,0,0
53995,14709,0
54092,36108,0
54194,23133,0
54292,119156,58221
54397,23133,0
54499,12852,0
54598,28274,0
54699,23133,0
54802,11566,0
54900,14137,0
55001,12852,0
55102,0,0
55204,11566,0
55302,14137,0
55401,58379,0
55502,0,0
55607,0,0
55704,23133,0
55805,12852,0
55907,11566,0
56016,12852,0
56107,12852,0
56207,0,0
56307,23133,0
56408,79607,18672
56508,361080,300145
56610,0,0
56712,11566,0
56813,13767,0
56916,0,0
57015,24781,0
57116,12852,0
57217,12852,0
57318,0,0
57435,108324,47389
57515,361080,300145
57619,0,0
57719,11566,0
57820,26476,0
57921,12852,0
