Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
82,768710,115175
176,614968,0
276,461226,0
377,94957,0
487,47764,0
580,427616,0
688,14137,0
789,25704,0
887,16670,0
986,31354,0
1090,25704,0
1188,25704,0
1283,76744,0
1393,25704,0
1485,165166,0
1589,35381,0
1693,14137,0
1791,38919,0
1892,28218,0
1994,20005,0
2104,19278,0
2193,24232,0
2293,0,0
2398,0,0
2502,12852,0
2597,0,0
2699,42328,0
2802,0,0
2903,23133,0
3001,25704,0
3102,38556,0
3197,851927,198392
3297,139765,0
3404,12852,0
3503,14709,0
3605,25704,0
3703,35381,0
3805,25704,0
3906,15677,0
4003,0,0
4107,23133,0
4207,25704,0
4304,69768,0
4406,0,0
4507,24781,0
4607,0,0
4704,170924,0
4809,0,0
4909,25704,0
5007,139536,0
5109,16670,0
5216,15422,0
5313,28274,0
5413,14137,0
5513,34700,0
5620,25704,0
5714,25704,0
5814,14137,0
5915,25704,0
6016,23133,0
6119,12852,0
6217,17690,0
6321,12852,0
6421,14137,0
6526,23133,0
6620,19459,0
6716,69768,0
6823,0,0
6924,14137,0
7028,32130,0
7134,17651,0
7218,474789,0
7323,12852,0
7424,0,0
7526,14137,0
7625,25704,0
7724,0,0
7826,34700,0
7930,25704,0
8027,15144,0
8134,32130,0
8234,14137,0
8348,19459,0
8427,383724,0
8532,25704,0
8632,28274,0
8737,0,0
8830,125582,0
8936,23133,0
9032,69768,0
9139,0,0
9243,23133,0
9339,35381,0
9439,25704,0
9542,38556,0
9645,12852,0
9740,0,0
9837,188373,0
9942,34700,0
10043,29418,0
10143,31354,0
10244,0,0
10347,23133,0
10443,0,0
10552,62791,0
10643,103374,0
10748,14109,0
10849,12852,0
10949,14137,0
11050,12852,0
11146,174420,0
11251,25704,0
11351,34700,0
11455,12852,0
11552,21788,0
11652,0,0
11751,69768,0
11855,0,0
11954,20905,0
12056,58379,0
12157,23133,0
12259,23133,0
12358,15422,0
12458,23133,0
12559,0,0
12664,14137,0
12761,14137,0
12862,12852,0
12963,17690,0
13065,12852,0
13166,12852,0
13265,47764,0
13366,25704,0
13468,34700,0
13575,32130,0
13668,20005,0
13769,14137,0
13871,34700,0
13968,21228,0
14074,348840,0
14174,866546,213011
14270,1132100,478565
14369,1229936,576401
14469,1397655,744120
14570,427310,0
14671,0,0
14776,13767,0
14878,25704,0
14979,25704,0
15081,25704,0
15178,16521,0
15278,42411,0
15377,0,0
15476,85462,0
15581,13767,0
15682,12852,0
15781,139536,0
15882,35381,0
15980,558144,0
16085,306979,0
16184,1257889,604354
16281,1076194,422659
16381,754733,101198
16488,25704,0
16595,23133,0
16690,0,0
16790,18337,0
16890,63686,0
16992,29418,0
17115,230234,0
17188,265882,0
17293,20563,0
17390,0,0
17491,22996,0
17593,23133,0
17694,15677,0
17798,77838,0
17912,237480,0
17947,397677,0
18054,18337,0
