Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
115,417814,0
142,1290799,869046
231,1397655,975902
337,1076194,654441
439,1257889,836136
534,517132,95379
640,29418,0
741,25704,0
843,12852,0
941,14137,0
1044,11566,0
1143,30007,0
1245,0,0
1347,14137,0
1442,188373,0
1542,104453,0
1653,23133,0
1743,153489,0
1850,17690,0
1947,41220,0
2049,23133,0
2152,53071,0
2247,66962,0
2351,12852,0
2452,25704,0
2552,34700,0
2648,76744,0
2752,15677,0
2854,27535,0
2959,12852,0
3053,0,0
3157,23133,0
3252,306979,0
3357,79607,0
3453,697680,275927
3554,85462,0
3654,34698,0
3758,12852,0
3863,34700,0
3959,28274,0
4061,12852,0
4166,25704,0
4262,37172,0
4363,15422,0
4462,25704,0
4567,23133,0
4663,14137,0
4764,25704,0
4864,23133,0
4966,14137,0
5065,16670,0
5165,38919,0
5263,69768,0
5367,0,0
5471,23133,0
5567,0,0
5669,45433,0
5769,55013,0
5870,25704,0
5975,25704,0
6068,69768,0
6172,23133,0
6273,15422,0
6374,23133,0
6474,0,0
6574,27535,0
6674,0,0
6775,23133,0
6876,24781,0
6975,11566,0
7077,14137,0
7184,153489,0
7275,978358,556605
7378,0,0
7480,25704,0
7580,0,0
7681,0,0
7783,12852,0
7880,12852,0
7982,23133,0
8083,14137,0
8183,63686,0
8289,12852,0
8385,27535,0
8486,12852,0
8587,25704,0
8688,12852,0
8788,12852,0
8889,33341,0
8989,14137,0
9089,17690,0
9192,23133,0
9287,0,0
9393,12852,0
9493,23133,0
9594,14137,0
9695,23133,0
9796,23133,0
9891,0,0
9996,23133,0
10098,38556,0
10199,34700,0
10300,14137,0
10405,34700,0
10497,209303,0
10601,14137,0
10702,11566,0
10805,12852,0
10900,76744,0
11005,25704,0
11105,42328,0
11202,139536,0
11312,23133,0
11406,14137,0
11508,28274,0
11608,32130,0
11709,14137,0
11811,12852,0
11906,0,0
12011,23133,0
12111,14137,0
12212,12852,0
12314,14137,0
12409,69768,0
12515,0,0
12615,23133,0
12720,38556,0
12816,15677,0
12917,25704,0
13018,15144,0
13118,17690,0
13216,69768,0
13320,12852,0
13415,69768,0
13524,11566,0
13616,153489,0
13721,12852,0
13821,12852,0
13921,14137,0
14022,0,0
14118,139536,0
14218,139536,0
